,pID,age,group_size,group,has_travelled,has_preexisting_condition,number_of_flags,seat,offset_order,offset_x,offset_y,offset_method
0,733f741b-a2e0-489e-8038-c27a21d9350a,42,7,"[UUID('7de06e84-082d-471b-bbcf-9dc6222da27f'), UUID('59103cfb-a46a-432c-aa92-701cac7adf9e'), UUID('659ec61b-45fb-4935-a7c8-a7dce85fb257'), UUID('9ed68fa3-cc11-4b82-8be1-1b5093ac5a8e'), UUID('b7b3af8d-aaf8-4589-907e-d222e48948b0'), UUID('b5a51f5d-4ac0-4ab1-a514-1260798b1809'), UUID('733f741b-a2e0-489e-8038-c27a21d9350a')]",False,False,0,82A,5,0,0,cardinal_only
1,59103cfb-a46a-432c-aa92-701cac7adf9e,41,7,"[UUID('7de06e84-082d-471b-bbcf-9dc6222da27f'), UUID('59103cfb-a46a-432c-aa92-701cac7adf9e'), UUID('659ec61b-45fb-4935-a7c8-a7dce85fb257'), UUID('9ed68fa3-cc11-4b82-8be1-1b5093ac5a8e'), UUID('b7b3af8d-aaf8-4589-907e-d222e48948b0'), UUID('b5a51f5d-4ac0-4ab1-a514-1260798b1809'), UUID('733f741b-a2e0-489e-8038-c27a21d9350a')]",False,True,1,83A,2,1,1,full_block
2,a8f06985-b947-44ee-a7ec-c246b882045a,38,7,"[UUID('cb281a7f-016e-4dce-9441-acbb130bdf68'), UUID('160edd97-8cff-44cf-9233-0dd02e2cd3ae'), UUID('b2c9093c-4c98-4f04-9721-e76b23d91737'), UUID('a8f06985-b947-44ee-a7ec-c246b882045a'), UUID('eba72c2e-9733-45ad-a138-d0d39b701e3c'), UUID('d509e51a-4806-407d-b207-dae5342c67ea'), UUID('68e2c986-6ac6-4c23-815b-199eb1b1520d')]",False,False,0,79A,5,0,0,cardinal_only
3,b2c9093c-4c98-4f04-9721-e76b23d91737,36,7,"[UUID('cb281a7f-016e-4dce-9441-acbb130bdf68'), UUID('160edd97-8cff-44cf-9233-0dd02e2cd3ae'), UUID('b2c9093c-4c98-4f04-9721-e76b23d91737'), UUID('a8f06985-b947-44ee-a7ec-c246b882045a'), UUID('eba72c2e-9733-45ad-a138-d0d39b701e3c'), UUID('d509e51a-4806-407d-b207-dae5342c67ea'), UUID('68e2c986-6ac6-4c23-815b-199eb1b1520d')]",True,False,1,81B,5,0,0,cardinal_only
4,b5a51f5d-4ac0-4ab1-a514-1260798b1809,36,7,"[UUID('7de06e84-082d-471b-bbcf-9dc6222da27f'), UUID('59103cfb-a46a-432c-aa92-701cac7adf9e'), UUID('659ec61b-45fb-4935-a7c8-a7dce85fb257'), UUID('9ed68fa3-cc11-4b82-8be1-1b5093ac5a8e'), UUID('b7b3af8d-aaf8-4589-907e-d222e48948b0'), UUID('b5a51f5d-4ac0-4ab1-a514-1260798b1809'), UUID('733f741b-a2e0-489e-8038-c27a21d9350a')]",False,False,0,82B,5,0,0,cardinal_only
5,eba72c2e-9733-45ad-a138-d0d39b701e3c,35,7,"[UUID('cb281a7f-016e-4dce-9441-acbb130bdf68'), UUID('160edd97-8cff-44cf-9233-0dd02e2cd3ae'), UUID('b2c9093c-4c98-4f04-9721-e76b23d91737'), UUID('a8f06985-b947-44ee-a7ec-c246b882045a'), UUID('eba72c2e-9733-45ad-a138-d0d39b701e3c'), UUID('d509e51a-4806-407d-b207-dae5342c67ea'), UUID('68e2c986-6ac6-4c23-815b-199eb1b1520d')]",False,True,1,80C,2,1,1,full_block
6,d509e51a-4806-407d-b207-dae5342c67ea,34,7,"[UUID('cb281a7f-016e-4dce-9441-acbb130bdf68'), UUID('160edd97-8cff-44cf-9233-0dd02e2cd3ae'), UUID('b2c9093c-4c98-4f04-9721-e76b23d91737'), UUID('a8f06985-b947-44ee-a7ec-c246b882045a'), UUID('eba72c2e-9733-45ad-a138-d0d39b701e3c'), UUID('d509e51a-4806-407d-b207-dae5342c67ea'), UUID('68e2c986-6ac6-4c23-815b-199eb1b1520d')]",False,False,0,79B,5,0,0,cardinal_only
7,b7b3af8d-aaf8-4589-907e-d222e48948b0,34,7,"[UUID('7de06e84-082d-471b-bbcf-9dc6222da27f'), UUID('59103cfb-a46a-432c-aa92-701cac7adf9e'), UUID('659ec61b-45fb-4935-a7c8-a7dce85fb257'), UUID('9ed68fa3-cc11-4b82-8be1-1b5093ac5a8e'), UUID('b7b3af8d-aaf8-4589-907e-d222e48948b0'), UUID('b5a51f5d-4ac0-4ab1-a514-1260798b1809'), UUID('733f741b-a2e0-489e-8038-c27a21d9350a')]",False,False,0,82C,5,0,0,cardinal_only
8,68e2c986-6ac6-4c23-815b-199eb1b1520d,32,7,"[UUID('cb281a7f-016e-4dce-9441-acbb130bdf68'), UUID('160edd97-8cff-44cf-9233-0dd02e2cd3ae'), UUID('b2c9093c-4c98-4f04-9721-e76b23d91737'), UUID('a8f06985-b947-44ee-a7ec-c246b882045a'), UUID('eba72c2e-9733-45ad-a138-d0d39b701e3c'), UUID('d509e51a-4806-407d-b207-dae5342c67ea'), UUID('68e2c986-6ac6-4c23-815b-199eb1b1520d')]",False,False,0,79C,5,0,0,cardinal_only
9,9ed68fa3-cc11-4b82-8be1-1b5093ac5a8e,31,7,"[UUID('7de06e84-082d-471b-bbcf-9dc6222da27f'), UUID('59103cfb-a46a-432c-aa92-701cac7adf9e'), UUID('659ec61b-45fb-4935-a7c8-a7dce85fb257'), UUID('9ed68fa3-cc11-4b82-8be1-1b5093ac5a8e'), UUID('b7b3af8d-aaf8-4589-907e-d222e48948b0'), UUID('b5a51f5d-4ac0-4ab1-a514-1260798b1809'), UUID('733f741b-a2e0-489e-8038-c27a21d9350a')]",False,False,0,81A,5,0,0,cardinal_only
